Altium Designer Pick and Place Locations
D:\hardware\OpenSourse\openpnp\我的smoothie_V1\底板_适配LPC17v2\Project Outputs for 分体式smoothie主控_底板v2\Pick Place for 分体式smoothie主控_底板.csv

========================================================================================================================
File Design Information:

Date:       12/10/22
Time:       19:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","Height(mm)","Value"
"P10","Header 3","TopLayer","KF2EDG-2.54-3-H","","44.2468","91.0336","0","Header, 3-Pin","20.0000",""
"P9","Header 3","TopLayer","KF2EDG-2.54-3-H","","33.1978","91.0590","0","Header, 3-Pin","20.0000",""
"U6","7815","TopLayer","TO263(D2PACK)","","30.2260","71.8992","180","线性稳压5v输出","1.0000",""
"C37","100nF","TopLayer","0805c","","27.4066","85.3948","0","无极性定值电容","1.0000",""
"C36","100nF","TopLayer","0805c","","34.4170","82.5500","180","无极性定值电容","1.0000",""
"C35","10uF/35V","TopLayer","CAP-SMD_L6.0-W3.2-R-RD","","27.3558","82.4484","180","钽电容","0.0000",""
"FM2","fiducial","TopLayer","marker_ID1OD3","实心点外径1，净空外径3","13.9192","3.0988","0","g光学识别点","1.0000",""
"P8","Header 4","TopLayer","KF2EDG-2.54-4-H","","25.5016","9.0170","180","Header, 4-Pin","20.0000",""
"J1","TYPEC","TopLayer","TYPEC16P_SMT_THT","插贴混合","20.3000","95.3191","180","","1.0000",""
"Core1","核心板","TopLayer","LPC17XX_100pin","核心板","25.7048","31.3068","270","100脚LPC17xx系列核心板","8.0000",""
"C33","10uF/35V","TopLayer","CAP-SMD_L6.0-W3.2-R-RD","","55.4482","33.8328","270","钽电容","0.0000",""
"C32","220uF","TopLayer","CAP-SMD_BD8.0-L8.3-W8.3-FD","","100.7110","41.4528","270","有极性定值电容器","1.0000",""
"C31","220uF","TopLayer","CAP-SMD_BD8.0-L8.3-W8.3-FD","","71.1200","34.0868","270","有极性定值电容器","1.0000",""
"C30","220uF","TopLayer","CAP-SMD_BD8.0-L8.3-W8.3-FD","","123.7488","42.3672","270","有极性定值电容器","1.0000",""
"R42","NC","TopLayer","0805r","","57.8104","41.4782","0","定值电阻","1.0000",""
"JP1","Header 2","TopLayer","KF2EDGK5.08-2p-弯针","","139.7000","44.4500","90","Header, 2-Pin","1.0000",""
"R36","4K7","TopLayer","0805r","","11.9888","8.8900","270","定值电阻","1.0000",""
"R35","1K","TopLayer","0805r","","15.5448","10.0076","180","定值电阻","1.0000",""
"VGA-1","VGA-15","TopLayer","DR15-VGA","15针3排","118.8075","94.1844","0","Receptacle Assembly, 15-Pin, Sim Line Connector","12.7500",""
"R40","1K","TopLayer","0805r","","131.9022","60.7314","270","固定电阻器","1.0000",""
"R39","1K","TopLayer","0805r","","148.8440","60.8932","270","固定电阻器","1.0000",""
"R41","10k","TopLayer","0805r","","113.7920","60.6138","270","固定电阻器","1.0000",""
"R26","10k","TopLayer","0805r","","52.9590","23.6982","180","定值电阻","1.0000",""
"R25","10k","TopLayer","0805r","","66.3448","23.6982","180","定值电阻","1.0000",""
"R21","22R","TopLayer","0805r","","52.9844","25.7048","180","定值电阻","1.0000",""
"R20","22R","TopLayer","0805r","","66.2940","25.7048","180","定值电阻","1.0000",""
"R16","10K","TopLayer","0805r","","61.1378","3.6068","0","定值电阻","1.0000",""
"R15","10K","TopLayer","0805r","","73.8632","3.4036","0","定值电阻","1.0000",""
"Q8","AO4404","TopLayer","SOIC127P600X175-8N","SOIC, 8-Leads, Body 4.90x3.90mm, Pitch 1.27mm, IPC Medium Density","53.5432","18.4912","270","30V@8.5A.24毫欧","1.7500",""
"Q7","AO4404","TopLayer","SOIC127P600X175-8N","SOIC, 8-Leads, Body 4.90x3.90mm, Pitch 1.27mm, IPC Medium Density","66.8020","18.4912","270","30V@8.5A.24毫欧","1.7500",""
"Q6","AO4404","TopLayer","SOIC127P600X175-8N","SOIC, 8-Leads, Body 4.90x3.90mm, Pitch 1.27mm, IPC Medium Density","79.9338","18.4912","270","30V@8.5A.24毫欧","1.7500",""
"Q5","AO4404","TopLayer","SOIC127P600X175-8N","SOIC, 8-Leads, Body 4.90x3.90mm, Pitch 1.27mm, IPC Medium Density","92.8878","18.4912","270","30V@8.5A.24毫欧","1.7500",""
"Q4","AO4404","TopLayer","SOIC127P600X175-8N","SOIC, 8-Leads, Body 4.90x3.90mm, Pitch 1.27mm, IPC Medium Density","106.9086","18.4912","270","30V@8.5A.24毫欧","1.7500",""
